,Unnamed: 0,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
5,28067,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2045,2624,2022,3
6,28068,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),5046,5482,2022,3
19,28081,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OBC-NCL,Gender-Neutral,2806,4239,2022,3
20,28082,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OBC-NCL,Female-only (including Supernumerary),6657,8419,2022,3
32,28094,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,OBC-NCL,Gender-Neutral,4396,5280,2022,3
33,28095,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,OBC-NCL,Female-only (including Supernumerary),9161,11627,2022,3
43,28105,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,5198,7165,2022,3
50,28112,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,7512,9843,2022,3
58,28120,Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,4676,7175,2022,3
59,28121,Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),9851,11561,2022,3
70,28132,Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,7816,10594,2022,3
71,28133,Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),11671,14037,2022,3
80,28142,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,10199,12247,2022,3
87,28149,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,12764,13753,2022,3
94,28156,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,4572,7684,2022,3
101,28163,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Information Technology (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,6186,8607,2022,3
108,28170,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,7719,9058,2022,3
113,28175,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,10902,12911,2022,3
119,28181,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Information Technology (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,8490,10862,2022,3
125,28187,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,6444,9697,2022,3
131,28193,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,10110,12335,2022,3
140,28202,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,5115,7451,2022,3
141,28203,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),6622,10230,2022,3
152,28214,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","Information Technology (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,7519,7920,2022,3
153,28215,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","Information Technology (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),10645,11618,2022,3
164,28226,"Indian Institute of Information Technology, Allahabad","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2832,3715,2022,3
165,28227,"Indian Institute of Information Technology, Allahabad","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),5145,6977,2022,3
177,28239,"Indian Institute of Information Technology, Allahabad","Electronics and Communication Engineering (Under Flexible Academic Program) (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3059,3597,2022,3
178,28240,"Indian Institute of Information Technology, Allahabad","Electronics and Communication Engineering (Under Flexible Academic Program) (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),7167,7167,2022,3
189,28251,"Indian Institute of Information Technology, Allahabad","Information Technology (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1099,2010,2022,3
190,28252,"Indian Institute of Information Technology, Allahabad","Information Technology (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),2975,4532,2022,3
204,28266,"Indian Institute of Information Technology, Allahabad","Information Technology (Under Flexible Academic Program) (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1401,2092,2022,3
205,28267,"Indian Institute of Information Technology, Allahabad","Information Technology (Under Flexible Academic Program) (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),4553,4553,2022,3
214,28276,"Indian Institute of Information Technology, Allahabad","Information Technology-Business Informatics (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2011,2158,2022,3
215,28277,"Indian Institute of Information Technology, Allahabad","Information Technology-Business Informatics (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),4579,4900,2022,3
227,28289,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,4019,5624,2022,3
228,28290,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),5022,7585,2022,3
239,28301,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Computer Science and Engineering with Major in Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3809,5833,2022,3
240,28302,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Computer Science and Engineering with Major in Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),8359,8506,2022,3
252,28314,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,6779,9102,2022,3
253,28315,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),8080,13142,2022,3
263,28325,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,11703,14000,2022,3
264,28326,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),16901,17914,2022,3
273,28335,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Smart Manufacturing (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,12802,14091,2022,3
274,28336,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Smart Manufacturing (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),15343,19209,2022,3
286,28348,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2928,4856,2022,3
