,Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
0,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,677,737,2022,4
1,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),990,990,2022,4
2,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),1473,1473,2022,4
3,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,910,910,2022,4
4,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,142,204,2022,4
5,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),225,225,2022,4
6,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,354,354,2022,4
7,Indian Institute of Technology Bhubaneswar,"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,854,854,2022,4
8,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,636,661,2022,4
9,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1052,1052,2022,4
10,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,338,390,2022,4
11,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),853,853,2022,4
12,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,532,911,2022,4
13,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1079,1079,2022,4
14,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,957,957,2022,4
15,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),1430,1430,2022,4
16,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,1049,1049,2022,4
17,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,1025,1025,2022,4
18,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1206,1206,2022,4
19,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1549,1549,2022,4
20,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,1357,1357,2022,4
21,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,317,396,2022,4
22,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),231,231,2022,4
23,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",ST,Gender-Neutral,427,427,2022,4
24,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,270,404,2022,4
25,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),680,695,2022,4
26,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",ST,Gender-Neutral,969,1024,2022,4
27,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),1278,1278,2022,4
28,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,72,257,2022,4
29,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),526,612,2022,4
30,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1,9,2022,4
31,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),11,55,2022,4
32,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",ST,Gender-Neutral,274,436,2022,4
33,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),1102,1102,2022,4
34,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,28,102,2022,4
35,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),208,208,2022,4
36,Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,105,217,2022,4
37,Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),553,553,2022,4
38,Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,555,640,2022,4
39,Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),904,904,2022,4
40,Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",ST,Gender-Neutral,322,615,2022,4
41,Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),308,308,2022,4
42,Indian Institute of Technology Bombay,"Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,715,847,2022,4
